N	Waktu
10000	-1.95826
10100	-1.25152
10200	-1.85357
10300	-1.76925
10400	-1.24381
10500	-1.38692
10600	-0.96227
10700	-1.39764
10800	-1.07542
10900	-2.0967
11000	-0.950479
11100	-1.65747
11200	-1.74442
11300	-0.986853
11400	-0.885719
11500	-1.33694
11600	-1.27533
11700	-1.53732
11800	-1.11321
11900	-1.19351
12000	-1.23619
12100	-1.65729
12200	-1.53745
12300	-1.31846
12400	-1.43139
12500	-0.829432
12600	-2.09662
12700	-0.95437
12800	-1.22155
12900	-0.931509
13000	-0.809333
13100	-0.866156
13200	-1.67748
13300	-1.41991
13400	-0.787479
13500	-2.15462
13600	-1.92051
13700	-1.50835
13800	-1.01742
13900	-2.22157
14000	-1.49454
14100	-1.56836
14200	-1.65723
14300	-1.45563
14400	-0.801032
14500	-1.95835
14600	-0.749245
14700	-0.714135
14800	-0.8413
14900	-2.15463
15000	-0.92781
15100	-1.67748
15200	-0.87259
15300	-0.920515
15400	-1.50821
15500	-1.11888
15600	-0.892447
15700	-0.749275
15800	-0.694318
15900	-1.99971
16000	-0.683741
16100	-1.88591
16200	-2.09662
16300	-1.58472
16400	-1.74442
16500	-1.92057
16600	-1.1132
16700	-0.73018
16800	-1.39752
16900	-1.13047
17000	-1.09655
17100	-0.795572
17200	-1.34648
17300	-1.40865
17400	-1.05026
17500	-0.803794
17600	-0.65725
17700	-0.859816
17800	-0.759118
17900	-1.27542
18000	-1.12463
18100	-0.862972
18200	-1.22147
18300	-1.76927
18400	-1.11319
18500	-0.856679
18600	-1.25143
18700	-2.09662
18800	-1.61945
18900	-0.978504
19000	-0.87581
19100	-0.946615
19200	-1.35614
19300	-0.448243
19400	-1.95832
19500	-1.35625
19600	-0.557211
19700	-1.20731
19800	-1.49442
19900	-0.449464
20000	-1.53715
