N	Waktu
10000	0.290733
10100	1.01403
10200	0.441799
10300	0.497022
10400	1.04386
10500	0.835301
10600	1.4386
10700	0.845548
10800	1.3068
10900	0.13572
11000	1.46178
11100	0.657839
11200	0.585545
11300	1.4099
11400	1.55112
11500	0.923486
11600	0.973897
11700	0.781565
11800	1.24402
11900	1.09451
12000	1.02331
12100	0.673982
12200	0.797997
12300	0.986117
12400	0.897837
12500	1.63369
12600	0.132602
12700	1.4756
12800	1.07672
12900	1.50817
13000	1.67909
13100	1.60252
13200	0.709642
13300	0.946668
13400	1.71105
13500	-0.109941
13600	0.435675
13700	0.881831
13800	1.37267
13900	-0.746336
14000	0.918057
14100	0.853769
14200	0.65013
14300	0.97113
14400	1.70318
14500	0.395225
14600	1.77566
14700	1.81768
14800	1.64576
14900	-0.903093
15000	1.51126
15100	0.752538
15200	1.60121
15300	1.51769
15400	0.972697
15500	1.27874
15600	1.56931
15700	1.77701
15800	1.85516
15900	0.20665
16000	1.87051
16100	0.453505
16200	-0.207803
16300	0.901411
16400	0.742219
16500	0.48871
16600	1.33621
16700	1.74487
16800	1.11585
16900	1.21546
17000	1.36624
17100	1.71565
17200	1.17037
17300	1.12588
17400	1.41315
17500	1.70262
17600	1.92815
17700	1.60975
17800	1.77598
17900	1.2574
18000	1.38059
18100	1.58965
18200	1.30667
18300	0.750547
18400	1.40113
18500	1.54154
18600	1.30143
18700	-0.651593
18800	0.934585
18900	1.51678
19000	1.60026
19100	1.48712
19200	1.23248
19300	2.20339
19400	0.339674
19500	1.2379
19600	2.07283
19700	1.37501
19800	1.11406
19900	2.21128
